exercise,num_sessions,total_reps,avg_reps_per_session,avg_emg_amplitude,std_emg_amplitude,avg_hr_estimate
Benchpress,6,44,7.333333333333333,0.00022876005697725763,0.00016308832691430211,108.06159617170162
Pullups,5,50,10.0,7.053673086465775e-05,1.501377519291159e-05,109.74994216377858
Squat,6,51,8.5,5.4220374692031424e-06,1.3172726849363709e-06,106.43720035888951
